SESSION NAME:	Saddle Club_ep103
SAMPLE RATE:	48000.000000
BIT DEPTH:	24-bit
SESSION START TIMECODE:	00:00:00:00
TIMECODE FORMAT:	24 Frame
# OF AUDIO TRACKS:	24
# OF AUDIO CLIPS:	962
# OF AUDIO FILES:	416


M A R K E R S  L I S T I N G
#   	LOCATION     	TIME REFERENCE    	UNITS    	NAME                             	TRACK NAME                       	TRACK TYPE   	COMMENTS
68  	10:33:30:00  	1824480000        	Samples  	Location 68                      	Markers                          	Ruler                            	
69  	10:34:00:00  	1825920000        	Samples  	Location 69                      	Markers                          	Ruler                            	
70  	10:34:30:00  	1827360000        	Samples  	Location 70                      	Markers                          	Ruler                            	
71  	10:35:00:00  	1828800000        	Samples  	Location 71                      	Markers                          	Ruler                            	
72  	10:35:30:00  	1830240000        	Samples  	Location 72                      	Markers                          	Ruler                            	
73  	10:36:00:00  	1831680000        	Samples  	Location 73                      	Markers                          	Ruler                            	
74  	10:36:30:00  	1833120000        	Samples  	Location 74                      	Markers                          	Ruler                            	
75  	10:37:00:00  	1834560000        	Samples  	Location 75                      	Markers                          	Ruler                            	
76  	10:37:30:00  	1836000000        	Samples  	Location 76                      	Markers                          	Ruler                            	
77  	10:38:00:00  	1837440000        	Samples  	Location 77                      	Markers                          	Ruler                            	
201 	10:38:11:08  	1837984000        	Samples  	bis                              	Markers                          	Ruler                            	
78  	10:38:30:00  	1838880000        	Samples  	Location 78                      	Markers                          	Ruler                            	
79  	10:39:00:00  	1840320000        	Samples  	Location 79                      	Markers                          	Ruler                            	
80  	10:39:30:00  	1841760000        	Samples  	Location 80                      	Markers                          	Ruler                            	
81  	10:40:00:00  	1843200000        	Samples  	Location 81                      	Markers                          	Ruler                            	
82  	10:40:30:00  	1844640000        	Samples  	Location 82                      	Markers                          	Ruler                            	
83  	10:41:00:00  	1846080000        	Samples  	Location 83                      	Markers                          	Ruler                            	
84  	10:41:30:00  	1847520000        	Samples  	Location 84                      	Markers                          	Ruler                            	
85  	10:42:00:00  	1848960000        	Samples  	Location 85                      	Markers                          	Ruler                            	
86  	10:42:30:00  	1850400000        	Samples  	Location 86                      	Markers                          	Ruler                            	
87  	10:43:00:00  	1851840000        	Samples  	Location 87                      	Markers                          	Ruler                            	
88  	10:43:30:00  	1853280000        	Samples  	Location 88                      	Markers                          	Ruler                            	
89  	10:44:00:00  	1854720000        	Samples  	Location 89                      	Markers                          	Ruler                            	
90  	10:44:30:00  	1856160000        	Samples  	Location 90                      	Markers                          	Ruler                            	
91  	10:45:00:00  	1857600000        	Samples  	Location 91                      	Markers                          	Ruler                            	
92  	10:45:30:00  	1859040000        	Samples  	Location 92                      	Markers                          	Ruler                            	
93  	10:46:00:00  	1860480000        	Samples  	Location 93                      	Markers                          	Ruler                            	
206 	10:46:15:13  	1861226000        	Samples  	bis                              	Markers                          	Ruler                            	
94  	10:46:30:00  	1861920000        	Samples  	Location 94                      	Markers                          	Ruler                            	
95  	10:47:00:00  	1863360000        	Samples  	Location 95                      	Markers                          	Ruler                            	
96  	10:47:30:00  	1864800000        	Samples  	Location 96                      	Markers                          	Ruler                            	
97  	10:48:00:00  	1866240000        	Samples  	Location 97                      	Markers                          	Ruler                            	
98  	10:48:30:00  	1867680000        	Samples  	Location 98                      	Markers                          	Ruler                            	
99  	10:49:00:00  	1869120000        	Samples  	Location 99                      	Markers                          	Ruler                            	
100 	10:49:30:00  	1870560000        	Samples  	Location 100                     	Markers                          	Ruler                            	
101 	10:50:00:00  	1872000000        	Samples  	Location 101                     	Markers                          	Ruler                            	
102 	10:50:30:00  	1873440000        	Samples  	Location 102                     	Markers                          	Ruler                            	
103 	10:51:00:00  	1874880000        	Samples  	Location 103                     	Markers                          	Ruler                            	
104 	10:51:30:00  	1876320000        	Samples  	Location 104                     	Markers                          	Ruler                            	
105 	10:52:00:00  	1877760000        	Samples  	Location 105                     	Markers                          	Ruler                            	
106 	10:52:30:00  	1879200000        	Samples  	Location 106                     	Markers                          	Ruler                            	
107 	10:53:00:00  	1880640000        	Samples  	Location 107                     	Markers                          	Ruler                            	
108 	10:53:30:00  	1882080000        	Samples  	Location 108                     	Markers                          	Ruler                            	
208 	10:53:41:00  	1882608000        	Samples  	bis                              	Markers                          	Ruler                            	
109 	10:54:00:00  	1883520000        	Samples  	Location 109                     	Markers                          	Ruler                            	
110 	10:54:30:00  	1884960000        	Samples  	Location 110                     	Markers                          	Ruler                            	
111 	10:55:00:00  	1886400000        	Samples  	Location 111                     	Markers                          	Ruler                            	
112 	10:55:30:00  	1887840000        	Samples  	Location 112                     	Markers                          	Ruler                            	
113 	10:56:00:00  	1889280000        	Samples  	Location 113                     	Markers                          	Ruler                            	
